beginnerwoodworking active users	date	garageporn active users	somethingimade active users	toolporn active users	woodworking active users	woodworkingplans active users	woodworkingvideos active users	workbenches active users
323	2021-03-11 08:41:54.683476	42	388	108	3722	15	23	136
290	2021-03-11 08:56:56.537442	42	388	105	3576	7	23	129
229	2021-03-11 09:11:58.492075	42	388	89	3567	10	23	129
229	2021-03-11 09:27:00.865599	42	344	76	3567	4	10	107
258	2021-03-11 09:42:02.680506	22	274	76	3522	9	7	107
266	2021-03-11 09:57:04.712659	27	205	63	3263	5	6	107
226	2021-03-11 10:12:06.758728	25	348	79	3531	5	6	107
224	2021-03-11 10:27:09.216791	21	276	74	3531	12	6	99
213	2021-03-11 10:42:11.015444	21	326	74	3244	9	6	124
240	2021-03-11 10:57:12.824699	21	334	74	3145	9	19	124
240	2021-03-11 11:12:14.601795	27	273	94	3145	9	19	124
274	2021-03-11 11:27:16.822638	24	273	76	3145	14	14	85
310	2021-03-11 11:42:18.562834	24	248	75	3145	14	8	108
263	2021-03-11 11:57:20.461886	24	262	95	3145	14	13	108
318	2021-03-11 12:12:22.167792	35	277	95	3035	14	8	108
311	2021-03-11 12:27:24.820694	64	252	95	3249	18	8	108
311	2021-03-11 12:42:26.793532	41	252	77	3225	18	8	108
311	2021-03-11 12:57:28.603133	41	300	77	3225	7	8	107
299	2021-03-11 13:12:30.450932	34	300	77	3225	20	14	99
349	2021-03-11 13:27:32.801444	43	248	77	3429	10	9	67
428	2021-03-11 13:42:34.475101	43	236	92	3774	10	8	67
384	2021-03-11 13:57:36.308002	52	236	92	3774	11	4	67
384	2021-03-11 14:12:38.210496	62	288	92	3247	14	10	67
384	2021-03-11 14:27:40.603201	62	255	92	3247	6	21	67
475	2021-03-11 14:42:42.308702	75	307	75	3494	15	21	67
356	2021-03-11 14:57:44.275446	75	297	73	3207	15	21	67
356	2021-03-11 15:12:46.367889	42	315	73	3207	14	6	119
416	2021-03-11 15:27:48.814922	46	315	81	3207	9	9	122
372	2021-03-11 15:42:50.675372	70	315	95	3111	9	9	102
